Sample_ID_Cpx,Mineral,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Total
3_5_1 ,Clinopyroxene,52.17,0.5097,2.612,0.1082,5.8,0.1568,16.83,21.47,0.2542,,99.91
3_5_2 ,Clinopyroxene,51.49,0.5551,2.7751,0.3206,5.82,0.1918,16.51,22.02,0.3019,,99.98
3_5_3 ,Clinopyroxene,53.3,0.3301,1.8236,0.2775,4.54,0.1379,18.14,22.04,0.1747,,100.77
4_3_1 ,Clinopyroxene,51.46,0.524,2.578,0.2387,5.75,0.1644,16.87,21.77,0.2542,,99.6
4_3_2 ,Clinopyroxene,53.22,0.2179,1.7399,0.6707,3.65,0.1432,18.39,22.19,0.221,,100.45
4_3_4 ,Clinopyroxene,52.73,0.4927,2.4662,0.1422,5.86,0.1937,17.08,21.36,0.2395,,100.58
4_4_1 ,Clinopyroxene,51.35,0.8692,2.2811,0.0278,10.72,0.3157,15.19,18.77,0.4201,,99.94
4_4_2 ,Clinopyroxene,52.2,0.5826,2.9535,0.1786,5.66,0.1542,16.49,21.93,0.2744,,100.43
4_4_4 ,Clinopyroxene,52.57,0.5274,2.6822,0.1887,5.84,0.159,16.8,21.79,0.2378,,100.79
6_3_1 ,Clinopyroxene,51.62,0.7887,2.1385,0.1135,11.17,0.3315,15.05,18.36,0.3731,,99.95
6_3_2 ,Clinopyroxene,52.36,0.5187,2.6283,0.1915,5.73,0.1643,16.78,21.93,0.2254,,100.52
,Clinopyroxene,50.57,0.7832,2.2194,0,9.52,0.2881,15.21,19.53,0.4018,,98.53
,Clinopyroxene,51.31,0.7887,2.0983,0.0439,10.84,0.346,14.9,18.76,0.3763,,99.46
,Clinopyroxene,51.22,0.6965,2.512,0.0593,9.29,0.2563,15.87,19.74,0.3314,,99.98
,Clinopyroxene,51.61,0.7815,2.0393,0.0342,10.13,0.326,15.3,19.49,0.3711,,100.08
,Clinopyroxene,51.37,0.7314,1.8314,0.0199,10.78,0.3349,15.07,19.19,0.4015,,99.72
,Clinopyroxene,51.6,0.7083,2.3545,0.0935,9.33,0.3002,17.73,17.87,0.2541,,100.24
,Clinopyroxene,51.83,0.4703,1.3382,0.0099,10.52,0.3276,15.04,19.47,0.3672,,99.38
,Clinopyroxene,51.84,0.5612,2.2827,0.3067,7.28,0.1956,16.8,20.05,0.2867,,99.62
,Clinopyroxene,50.89,0.7188,1.9603,0.0261,10.66,0.2992,15.19,19.27,0.3851,,99.41
,Clinopyroxene,50.97,0.7005,3.07,0.4434,7.5,0.2108,16.29,20.28,0.3099,,99.77
,Clinopyroxene,50.57,0.6745,1.7235,0.0208,10.36,0.3354,15.14,19.52,0.3624,,98.7
,Clinopyroxene,50.19,0.6481,3.54,0.3174,6.52,0.2052,16.8,21.03,0.264,,99.51
SC-3TB CpxAc ,Clinopyroxene,51.4,0.799,2.1387,0.0179,9.92,0.2701,14.66,19.79,0.3335,,99.33
SC-3TB CpxBc ,Clinopyroxene,51.74,0.7051,1.9262,0,10.73,0.3439,14.37,19.77,0.3605,,99.94
SC-3TB CpxBr ,Clinopyroxene,52.25,0.8147,2.0096,0.0153,9.12,0.3006,15.13,19.35,0.4241,,99.41
SC-3TB Cpxclot ,Clinopyroxene,52.43,0.8677,2.1201,0.0188,9.74,0.3104,15.14,18.61,0.4081,,99.64
SC-6TB CpxAc ,Clinopyroxene,52.64,0.5942,1.6004,0.0004,10.2,0.2915,14.21,19.55,0.3095,,99.39
SC-6TB CpxAr ,Clinopyroxene,50.94,0.7955,2.011,0,9.65,0.2514,14.77,19.48,0.4192,,98.31
GC-3TB CpxAc ,Clinopyroxene,53.3,0.3419,1.1439,0.013,10.8,0.3997,14.04,19.49,0.3513,,99.88
GC-6TB CpxAc ,Clinopyroxene,52.29,0.4721,2.3896,0.3902,8.93,0.2485,14.46,20.16,0.3694,,99.71
GC-6TB CpxBc ,Clinopyroxene,51.97,0.5861,1.6569,0.0206,10.47,0.3021,14.3,19.52,0.4017,,99.23
GC-12TB CpxAc ,Clinopyroxene,52.47,0.7363,2.1227,0.043,9.57,0.2382,14.61,19.82,0.3378,,99.95
GC-12TB CpxBc ,Clinopyroxene,50.96,0.6944,1.6948,0,11.45,0.3274,13.9,18.95,0.4083,,98.4
GC-12TB Cpxgm ,Clinopyroxene,50.44,0.8449,1.0584,0,10.91,0.3578,14.67,19.02,0.4855,,97.79
BG-3TB CpxAc ,Clinopyroxene,54.04,0.299,0.8385,0,9.92,0.4618,13.92,20.55,0.3657,,100.4
BG-3TB CpxBc ,Clinopyroxene,53.05,0.428,1.2284,0,10.05,0.343,13.98,20.76,0.3613,,100.21
BG-7TB CpxBc ,Clinopyroxene,50.7,0.5747,1.6429,0.0035,10.43,0.3332,13.86,19.63,0.3762,,97.54
BG-7TB CpxCc ,Clinopyroxene,52.76,0.4492,1.2692,0,9.29,0.4279,14.29,20.81,0.3729,,99.68
BG-10TB CpxAc ,Clinopyroxene,52.54,0.5895,1.6907,0,10.56,0.4173,13.83,20.26,0.3742,,100.26
cpx8.1,Clinopyroxene,53,0.41,2,0.01,8.8,0.22,17,18.8,0.24,0,100.4
cpx8.2,Clinopyroxene,52.6,0.44,2.16,0,7.39,0.14,17,19.5,0.21,0,99.5
cpx8.3,Clinopyroxene,52.2,0.72,3.55,0.02,8.63,0.2,16.2,18.9,0.29,0,100.7
cpx8.4,Clinopyroxene,51.8,0.83,3.9,0.01,9.02,0.2,15.6,19.2,0.3,0,100.9
cpx8.5,Clinopyroxene,52,1.11,4.97,0.02,11.1,0.28,14.7,17.5,0.58,0.14,102.4
cpx10.1,Clinopyroxene,52.2,0.59,3.84,0.23,5.71,0.18,17.1,19.7,0.25,0,99.9
cpx10.2,Clinopyroxene,52.2,0.63,3.88,0.23,5.79,0.11,16.9,20,0.27,0,100
cpx10.3,Clinopyroxene,52.1,0.54,3.5,0,6.87,0.15,16.4,19.8,0.24,0,99.6
cpx10.4,Clinopyroxene,52.5,0.53,2.67,0.02,8.3,0.23,16.1,19.4,0.34,0,100.1
cpx8.1,Clinopyroxene,53.4,0.35,1.72,0,8.43,0.19,17.8,17.8,0.19,0.01,100.1
cpx8.2,Clinopyroxene,53.8,0.37,1.64,0.01,8.6,0.25,18,17.6,0.2,0,100.4
cpx8.3,Clinopyroxene,51,0.84,4.08,0.01,9.34,0.27,16,18.2,0.3,0,100
cpx8.4,Clinopyroxene,51.3,0.75,3.75,0,9.16,0.24,16.2,18.3,0.29,0,100
cpx8.5,Clinopyroxene,51.9,0.64,3.28,0.01,8.34,0.2,16.4,19,0.31,0.01,100.2
cpx8.6,Clinopyroxene,51.6,0.68,3.3,0.01,9.16,0.23,15.6,19,0.3,0.01,99.9
cpx9.1,Clinopyroxene,51.8,0.55,2.93,0.02,7.81,0.12,16.3,19.8,0.33,0,99.7
cpx9.2,Clinopyroxene,52.5,0.58,2.97,0,7.62,0.16,16.2,20,0.28,0.01,100.4
cpx10.1,Clinopyroxene,53.5,0.33,1.99,0.03,6.61,0.25,18.1,18.8,0.17,0,99.8
cpx10.2,Clinopyroxene,50.4,0.77,4.72,0.06,7.26,0.13,16,19.5,0.24,0.03,99.1
cpx10.3,Clinopyroxene,51.2,0.64,4.47,0.06,6.58,0.06,15.8,20.1,0.25,0,99.2
cpx10.4,Clinopyroxene,51.8,0.53,2.85,0.05,7.94,0.13,15.9,19.4,0.3,0.01,98.9
cpx11.1,Clinopyroxene,52.4,0.55,1.76,0,10.2,0.3,16,18.3,0.3,0.01,100
cpx11.2,Clinopyroxene,52.7,0.57,1.82,0.01,10.5,0.33,15.9,18.2,0.28,0.01,100.4
cpx11.3,Clinopyroxene,52.2,0.74,2.66,0.14,8.15,0.19,16.4,19.1,0.33,0,100
cpx12.4*,Clinopyroxene,52.3,0.55,2.73,0.15,6.9,0.2,16.7,19.5,0.32,0,99.4
cpx12.5*,Clinopyroxene,51.2,0.72,4.45,0.75,6.56,0.12,16.1,19.6,0.35,0.01,99.8
cpx12.6*,Clinopyroxene,52,0.54,2.87,0.02,8.23,0.23,16.1,19,0.33,0,99.4
cpx13.7*,Clinopyroxene,53.5,0.41,1.73,0.05,7.23,0.19,17.2,19,0.4,0,99.7
cpx13.8*,Clinopyroxene,51.9,0.56,3.04,0.31,6.2,0.19,16.7,19.9,0.35,0,99.3
cpx13.9*,Clinopyroxene,52.3,0.54,3.01,0.02,7.77,0.22,16.7,18.7,0.25,0.01,99.5
cpx1.1,Clinopyroxene,53.7,0.21,0.75,0,9.92,0.3,15.2,19.3,0.38,0,99.8
cpx1.2,Clinopyroxene,53.5,0.24,0.89,0,11.2,0.52,14.8,18.8,0.41,0,100.4
cpx1.3,Clinopyroxene,53,0.27,1.27,0.01,10.6,0.34,14.9,19,0.35,0,99.6
cpx1.4,Clinopyroxene,53,0.29,1.02,0.04,10.7,0.41,14.5,19.3,0.44,0.01,99.7
cpx1.5,Clinopyroxene,53.5,0.33,1.24,0,11.29,0.36,14.5,19.1,0.43,0.01,100.8
cpx3.1,Clinopyroxene,53.2,0.45,1.73,0.01,9.8,0.38,14.9,19,0.44,0,100
cpx3.2,Clinopyroxene,54.1,0.19,0.79,0,10.7,0.48,14.7,19.1,0.39,0,100.4
cpx3.3,Clinopyroxene,53.3,0.37,1.42,0,9.72,0.39,15.2,19.2,0.37,0.02,100.1
cpx5.1,Clinopyroxene,52.1,0.37,1.52,0.05,10.6,0.44,14.1,19,0.41,0.01,98.6
cpx5.2,Clinopyroxene,53.6,0.16,0.73,0.03,10.5,0.41,14.7,19.1,0.36,0,99.7
cpx5.3,Clinopyroxene,51.4,0.72,3.12,0.01,10.4,0.28,15.2,18.5,0.33,0,100
cpx6.1,Clinopyroxene,51.6,0.28,1.21,0,11.7,0.46,13.7,18.7,0.28,0.01,98
cpx6.2,Clinopyroxene,52.3,0.3,1.33,0.01,11.9,0.43,13.8,18.5,0.26,0,98.8
cpx6.3,Clinopyroxene,50.4,0.81,3.63,0.01,9.56,0.28,15.1,18.5,0.3,0.02,98.6
cpx6.4,Clinopyroxene,52.1,0.42,1.64,0,10.3,0.34,17.1,16.3,0.24,0,98.5
cpx6.5,Clinopyroxene,51.4,0.28,1.15,0.01,11.5,0.4,13.7,18.7,0.25,0.01,97.4
cpx7.1,Clinopyroxene,49.5,1.2,5.29,0.25,10.7,0.22,14.6,18.2,0.29,0,100.2
cpx7.2,Clinopyroxene,50.3,0.99,4.69,0.17,10.2,0.28,15.1,17.9,0.33,0.01,100.1
cpx1.1,Clinopyroxene,53,0.19,0.89,0,10.3,0.38,14.7,18.9,0.43,0,98.8
cpx1.2,Clinopyroxene,53.6,0.19,0.88,0,10.6,0.4,14.7,19,0.34,0,99.8
cpx1.3,Clinopyroxene,52.8,0.18,0.87,0.01,10.6,0.44,15,19.1,0.34,0,99.4
cpx1.4,Clinopyroxene,53.3,0.19,0.89,0.01,10.4,0.37,14.8,19.1,0.38,0,99.6
cpx1.5,Clinopyroxene,54,0.18,0.83,0.03,11,0.45,14.8,18.9,0.37,0,100.5
cpx1.6,Clinopyroxene,52.9,0.25,1,0.01,9.56,0.34,15.3,19.1,0.32,0,98.8
cpx1.7,Clinopyroxene,51.9,0.44,1.77,0,9.85,0.23,15.6,18.5,0.3,0,98.6
cpx1.8,Clinopyroxene,53.3,0.33,1.61,0.04,7.72,0.23,18.2,17.6,0.14,0,99.2
cpx2.1,Clinopyroxene,53,0.12,0.57,0.01,10.2,0.42,14.8,19.2,0.34,0,98.8
cpx2.2,Clinopyroxene,52.7,0.21,0.81,0.01,10.4,0.43,14.7,19.2,0.34,0,98.8
cpx2.3,Clinopyroxene,51.7,0.55,1.93,0,11.7,0.49,14.8,17.6,0.37,0,99.2
cpx4.1,Clinopyroxene,53.2,0.22,0.96,0.01,10.4,0.46,15,19.3,0.35,0.01,99.9
cpx4.2,Clinopyroxene,53.1,0.28,1.14,0.01,11,0.46,14.9,19.2,0.4,0,100.5
cpx4.3,Clinopyroxene,52.5,0.25,1.07,0.03,10.3,0.35,14.9,19.2,0.37,0,99
cpx7.1,Clinopyroxene,52.3,0.27,1.21,0,9.97,0.36,15,19.2,0.38,0,98.7
cpx7.2,Clinopyroxene,52.7,0.28,1.22,0.02,10.4,0.32,15,19.1,0.38,0.01,99.4
cpx7.3,Clinopyroxene,51.2,0.51,2.57,0.16,10.9,0.41,14.2,19.3,0.47,0,99.6
cpx24.1,Clinopyroxene,53.6,0.19,0.8,0,10.9,0.48,15,19.5,0.36,0,100.9
cpx24.2,Clinopyroxene,54.3,0.2,0.83,0.01,11,0.4,15,19.5,0.36,0.01,101.6
cpx24.3,Clinopyroxene,53.7,0.27,1.11,0,10.6,0.4,15.4,19.3,0.35,0,101
